Date,Open,High,Low,Close,Volume,Currency
2021-04-11,2133.89,2164.76,2114.55,2151.42,1974249,USD
2021-04-12,2150.79,2199.52,2103.73,2137.81,2159605,USD
2021-04-13,2137.55,2315.47,2136.49,2299.93,2377435,USD
2021-04-14,2299.25,2445.4,2281.49,2431.56,2108501,USD
2021-04-15,2432.9,2541.9,2402.75,2514.22,1911180,USD
2021-04-16,2514.55,2544.54,2302.3,2423.18,2083368,USD
2021-04-17,2424.12,2493.93,2314.12,2318.33,1731692,USD
2021-04-18,2317.88,2338.53,1948.93,2237.17,2764602,USD
2021-04-19,2236.1,2275.87,2081.3,2160.63,1901030,USD
2021-04-20,2161.06,2345.18,2058.0,2332.14,1858410,USD
2021-04-21,2331.84,2467.51,2238.15,2360.81,2104047,USD
2021-04-22,2360.32,2642.99,2313.46,2401.1,3165540,USD
2021-04-23,2398.95,2440.21,2119.26,2367.31,3456897,USD
2021-04-24,2367.35,2367.46,2159.6,2215.93,1614413,USD
2021-04-25,2217.23,2355.2,2169.91,2316.48,1018682,USD
2021-04-26,2320.63,2539.8,2305.97,2533.12,1794021,USD
2021-04-27,2531.07,2677.95,2484.44,2665.24,1454218,USD
2021-04-28,2665.83,2759.03,2562.74,2746.54,1740524,USD
2021-04-29,2746.51,2797.52,2670.35,2757.36,1650956,USD
2021-04-30,2757.02,2797.61,2726.03,2772.78,1516765,USD
2021-05-01,2772.27,2951.74,2753.6,2944.66,1507853,USD
2021-05-02,2945.04,2984.52,2854.12,2950.33,1303234,USD
2021-05-03,2950.07,3451.44,2950.07,3429.37,2324317,USD
2021-05-04,3429.48,3516.34,3188.9,3286.71,2744931,USD
2021-05-05,3284.31,3540.78,3228.86,3522.76,1866478,USD
2021-05-06,3522.74,3601.59,3380.6,3489.52,1511619,USD
2021-05-07,3490.83,3583.34,3363.56,3481.22,1346260,USD
2021-05-08,3479.81,3952.88,3453.37,3905.55,1342221,USD
2021-05-09,3905.69,3979.77,3734.44,3922.23,1939690,USD
2021-05-10,3923.48,4203.98,3669.84,3947.9,2702973,USD
2021-05-11,3948.66,4177.53,3781.86,4167.78,1272933,USD
2021-05-12,4173.61,4366.1,3794.15,3811.77,2782017,USD
2021-05-13,3807.5,4031.99,3539.96,3719.62,3208841,USD
2021-05-14,3719.46,4171.76,3694.54,4075.38,2059612,USD
2021-05-15,4074.57,4129.99,3639.12,3641.65,1941190,USD
2021-05-16,3643.67,3877.2,3351.92,3582.12,2277016,USD
2021-05-17,3582.19,3582.27,3130.12,3279.68,2845117,USD
2021-05-18,3280.5,3558.57,3244.93,3377.55,2297356,USD
2021-05-19,3376.22,3434.01,1922.25,2435.69,6415036,USD
2021-05-20,2436.59,2988.52,2163.4,2777.55,4325975,USD
2021-05-21,2766.88,2931.66,2111.42,2433.11,4229658,USD
2021-05-22,2433.09,2481.06,2162.84,2291.6,2823685,USD
2021-05-23,2292.68,2379.89,1739.91,2101.34,3523766,USD
2021-05-24,2101.3,2667.2,2080.87,2646.79,3236837,USD
2021-05-25,2647.27,2747.49,2388.81,2705.09,3276658,USD
2021-05-26,2705.69,2908.37,2648.1,2884.66,2659567,USD
2021-05-27,2885.02,2885.87,2638.62,2735.88,2391700,USD
2021-05-28,2742.39,2760.17,2332.43,2414.29,3260083,USD
2021-05-29,2411.68,2567.42,2207.21,2276.07,2943611,USD
2021-05-30,2276.97,2465.84,2181.93,2386.1,2802183,USD
2021-05-31,2386.93,2713.98,2279.42,2708.47,2825247,USD
2021-06-01,2707.94,2738.23,2529.73,2633.67,2451500,USD
2021-06-02,2633.74,2801.0,2554.88,2706.1,2602968,USD
2021-06-03,2705.05,2889.19,2666.39,2853.35,1085334,USD
2021-06-04,2856.63,2856.63,2557.71,2686.5,2465959,USD
2021-06-05,2688.75,2814.02,2555.98,2628.98,2554913,USD
2021-06-06,2628.43,2743.53,2614.48,2713.66,756358,USD
2021-06-07,2713.52,2842.88,2581.24,2592.63,3012988,USD
2021-06-08,2592.12,2618.7,2320.64,2510.65,75179,USD
2021-06-09,2507.86,2620.74,2408.37,2606.23,2319177,USD
2021-06-10,2607.45,2615.46,2432.41,2469.97,1293095,USD
2021-06-11,2470.04,2493.48,2324.21,2351.45,587182,USD
2021-06-12,2351.45,2448.04,2260.8,2368.47,1798714,USD
2021-06-13,2368.68,2547.9,2311.96,2508.27,1622481,USD
2021-06-14,2508.49,2606.91,2467.61,2581.48,1789796,USD
2021-06-15,2581.42,2637.9,2512.39,2543.83,1948603,USD
2021-06-16,2544.35,2552.12,2353.24,2367.28,1373733,USD
2021-06-17,2367.78,2459.11,2309.08,2371.62,1058512,USD
2021-06-18,2372.1,2376.62,2142.74,2229.53,778792,USD
2021-06-19,2229.53,2276.7,2164.14,2166.91,1075175,USD
2021-06-20,2166.3,2276.83,2045.03,2243.86,1421393,USD
2021-06-21,2244.25,2257.86,1868.32,1891.18,2693071,USD
2021-06-22,1890.95,1994.32,1707.24,1876.66,2839822,USD
2021-06-23,1877.28,2043.1,1823.57,1968.39,1766983,USD
2021-06-24,1968.76,2033.96,1886.74,1989.14,1641253,USD
2021-06-25,1989.77,2017.47,1793.47,1810.57,1648563,USD
2021-06-26,1810.53,1850.4,1719.32,1830.62,1991985,USD
2021-06-27,1830.42,1980.7,1808.59,1979.88,1865986,USD
2021-06-28,1981.24,2142.84,1962.89,2083.09,2192525,USD
2021-06-29,2083.48,2241.86,2076.17,2158.71,898056,USD
2021-06-30,2158.32,2281.55,2090.61,2273.84,1901826,USD
2021-07-01,2274.5,2274.63,2077.56,2109.11,1714910,USD
2021-07-02,2108.58,2158.7,2019.75,2154.78,1394215,USD
2021-07-03,2154.53,2236.97,2115.8,2224.7,1276896,USD
2021-07-04,2224.7,2386.2,2222.95,2323.22,1389427,USD
2021-07-05,2322.6,2322.6,2163.09,2196.16,822946,USD
2021-07-06,2196.25,2347.47,2194.2,2322.72,1778485,USD
2021-07-07,2322.74,2402.68,2296.43,2316.57,1321813,USD
2021-07-08,2316.21,2322.47,2095.92,2120.22,1824319,USD
2021-07-09,2120.05,2185.62,2066.09,2145.89,1420364,USD
2021-07-10,2146.15,2191.3,2078.43,2111.12,929323,USD
2021-07-11,2110.9,2173.34,2081.62,2139.35,724841,USD
2021-07-12,2139.44,2167.6,2008.66,2035.09,540101,USD
2021-07-13,2035.09,2042.61,1920.62,1940.72,717845,USD
2021-07-14,1940.48,2017.99,1868.45,1994.64,1050506,USD
2021-07-15,1994.73,2038.91,1884.81,1917.21,645058,USD
2021-07-16,1917.21,1960.21,1852.42,1878.2,619618,USD
2021-07-17,1877.0,1917.8,1851.97,1897.98,623520,USD
2021-07-18,1898.01,1988.24,1881.6,1892.42,829767,USD
2021-07-19,1891.43,1915.15,1807.19,1818.07,802776,USD
2021-07-20,1818.07,1840.36,1720.7,1786.07,1196565,USD
2021-07-21,1786.18,2029.51,1758.64,1994.49,1513133,USD
2021-07-22,1994.61,2043.26,1952.31,2024.58,1023062,USD
2021-07-23,2024.51,2129.66,2000.27,2123.61,961669,USD
2021-07-24,2124.0,2162.29,2106.71,2151.85,907113,USD
2021-07-25,2166.98,2195.03,2108.74,2189.79,786940,USD
2021-07-26,2189.74,2430.01,2174.44,2229.53,1891029,USD
2021-07-27,2230.24,2318.68,2152.92,2300.22,1254596,USD
2021-07-28,2300.21,2343.49,2246.23,2299.11,968942,USD
2021-07-29,2299.46,2397.71,2269.15,2380.93,642749,USD
2021-07-30,2380.59,2467.4,2320.8,2460.95,1025002,USD
2021-07-31,2461.08,2551.68,2421.7,2532.19,507081,USD
2021-08-01,2530.94,2696.38,2515.26,2556.23,1203482,USD
2021-08-02,2556.07,2664.73,2513.51,2608.04,970667,USD
2021-08-03,2608.01,2631.43,2445.49,2506.65,158450,USD
2021-08-04,2506.5,2766.46,2462.32,2725.29,1225630,USD
2021-08-05,2725.28,2842.95,2533.51,2827.21,1654529,USD
2021-08-06,2827.23,2946.62,2726.04,2889.43,1062616,USD
2021-08-07,2889.58,3169.74,2867.58,3158.0,64840,USD
2021-08-08,3158.3,3188.49,2949.66,3012.07,1247953,USD
2021-08-09,3011.88,3184.84,2899.24,3162.93,1437881,USD
2021-08-10,3162.81,3232.02,3057.84,3140.71,1121106,USD
2021-08-11,3140.86,3269.7,3122.67,3163.66,950121,USD
2021-08-12,3160.17,3236.28,2981.35,3043.61,965628,USD
2021-08-13,3043.2,3324.53,3035.52,3322.43,795541,USD
2021-08-14,3322.25,3328.38,3209.45,3264.69,658600,USD
2021-08-15,3264.56,3318.61,3115.34,3308.87,782810,USD
2021-08-16,3307.96,3334.22,3138.37,3147.65,859089,USD
